EngSpeed,EngOilPress,EngCoolantTemp,EngFuelRate,BatteryPotential_PowerInput1,ActualEngPercentTorque,BarometricPress,EngPercentLoadAtCurrentSpeed,NominalFrictionPercentTorque,EngsDesiredOperatingSpeed,EngIntakeManifold1Temp,EngIntakeManifold1Press
0.210351261,-0.035823658,0.119510008,-0.100376496,0.167047513,0.253940329,0.466024375,-0.397178976,0.302165453,0.710123696,-1.270900889,0.52362295
-0.809721225,-0.787378756,0.119510008,-0.891119072,0.167047513,-0.541510368,-0.751313761,-0.828939482,0.039589541,0.688491492,-1.038553998,-0.105060626
1.0700657,0.063175251,-0.637960163,0.268176973,0.167047513,0.590425396,2.350000063,-0.397178976,0.37839717,0.64213677,0.007007009,1.152306527
-0.809129407,-0.750428459,0.876980179,-0.814496729,0.167047513,-0.404224461,-0.72232952,-0.828939482,0.090410685,0.646772242,-0.341513326,-0.105060626
0.852942432,-0.166195461,0.422498076,1.786065581,0.167047513,0.376959269,1.364535857,0.03458153,0.080246456,0.674585076,0.587874236,0.586491308
1.755391069,2.114962499,-0.637960163,3.320044881,0.167047513,1.590459013,2.552889752,0.466342035,-0.172165227,0.666859289,0.471700791,3.164093973
0.258633755,-0.165498285,0.876980179,1.052023538,0.167047513,0.395264057,0.563121584,-0.397178976,0.327576026,0.645227085,-1.038553998,0.27214952
-0.809375998,-0.796442037,0.876980179,-0.87732705,0.167047513,-0.545548188,-0.809282244,0.03458153,-0.053582557,0.637501298,-0.109166436,-0.105060626
-0.809228043,-0.923327962,0.119510008,-1.114090089,0.167047513,-0.6061155,-0.809282244,-0.828939482,0.344516407,0.686946335,-1.038553998,-0.105060626
0.969752531,-0.219180792,0.119510008,0.096542925,0.167047513,0.531204024,1.21961465,0.466342035,0.624032701,0.68385602,0.007007009,0.900833097
0.107991388,-0.614479253,0.876980179,1.107191625,0.167047513,0.078968095,1.85726796,-0.397178976,-0.184023494,0.693126965,-0.690033662,0.397886235
-0.055720296,-0.226849722,0.119510008,1.478043763,0.167047513,0.384496535,-0.055691969,0.03458153,0.376703132,0.583420788,-0.109166436,0.335017877
1.908819914,1.928816663,0.119510008,3.368316956,0.167047513,1.551426745,1.886252201,0.03458153,0.375009094,0.652952872,0.007007009,3.415567404
-0.078283362,-0.355827174,-0.637960163,0.344799315,0.167047513,0.331735677,0.437040134,-0.397178976,0.081940494,0.652952872,0.471700791,-0.105060626
-0.809400657,-0.820843176,0.119510008,-0.932495137,0.167047513,-0.6061155,-0.548424072,-0.828939482,-0.146754655,0.69621728,-0.457686772,-0.105060626
1.072802859,1.465195012,0.119510008,2.308629958,0.167047513,1.224363261,1.335551616,0.03458153,1.07295281,0.674585076,-0.922380553,1.90672682
-0.80715668,-0.941454523,-0.637960163,-1.143206579,0.167047513,-0.6061155,-0.92521921,-0.397178976,0.334352178,0.654498029,-0.457686772,-0.105060626
-0.808907475,-0.656309778,-0.637960163,-0.62677199,0.167047513,-0.363846253,-0.548424072,0.03458153,-0.383919996,0.659133501,-0.573860217,-0.105060626
-0.809671907,-0.823631878,0.119510008,-0.953949393,0.167047513,-0.585926396,-0.635376796,-0.828939482,-0.062052748,0.600417519,-0.457686772,-0.105060626
-0.809129407,-0.813871422,0.119510008,-0.922534232,0.167047513,-0.589964217,-0.538279588,-1.260699987,-0.095933511,0.708578539,-1.154727444,-0.105060626
-0.446912066,-0.637486042,-0.637960163,-0.487319326,0.167047513,0.068200573,-0.490455589,-0.397178976,0.412277933,0.645227085,0.007007009,0.020676089
1.855408329,0.658563056,0.119510008,4.320732676,0.167047513,0.832425455,2.92968489,0.466342035,-0.20604599,0.666859289,0.355527345,3.352699047
-0.804419521,-0.749731284,-0.637960163,-0.803769601,0.167047513,-0.493056518,-0.577408313,-0.828939482,-0.231456562,0.669949603,-0.341513326,-0.167928984
-0.809499293,-0.781801353,0.119510008,-0.863535028,0.167047513,-0.541510368,-0.635376796,-0.828939482,0.014178969,0.679220548,-0.341513326,-0.167928984
-0.002037462,0.005309691,-0.637960163,1.129412104,0.167047513,0.434027137,-0.08467621,0.466342035,-0.265337325,0.666859289,-0.341513326,0.27214952
-0.809006112,-0.762977617,0.119510008,-0.848976783,0.167047513,-0.525359085,-0.739720065,-0.397178976,-0.366979614,0.634410983,0.355527345,-0.167928984
1.597523589,0.49821271,0.876980179,0.735573263,0.167047513,1.014396579,2.745634957,0.03458153,0.219157584,0.640591612,0.936394572,1.718121747
2.499577681,0.102217074,0.876980179,2.556120124,0.167047513,0.852883747,3.161558821,0.03458153,-0.104403702,0.69621728,-1.503247779,2.15820025
0.423060553,-0.091597691,1.331462281,-0.091181814,0.167047513,0.350848028,0.890643511,0.898102541,0.268284691,0.666859289,0.123180455,1.435214137
0.033767533,-0.323757105,-0.637960163,0.351695326,0.167047513,0.301048239,0.031260755,0.03458153,0.539330794,0.679220548,0.007007009,0.429320414
-0.060084955,-0.469466767,0.876980179,0.174697715,0.167047513,0.010325141,-0.142644693,0.03458153,0.022649159,0.671494761,0.471700791,0.146412804
-0.419022637,0.282088331,0.422498076,-0.236764266,0.167047513,0.327428668,2.002189167,-4.714784031,0.664689617,0.68385602,-0.748120385,1.215174885
0.87622061,0.6062749,0.119510008,0.87809082,0.167047513,0.802276393,1.306567374,0.03458153,0.674853845,0.657588344,0.007007009,1.3409116
-0.794432591,-0.454128907,0.876980179,-0.280439001,0.167047513,-0.199103164,-0.809282244,-0.397178976,-0.070522939,0.637501298,-0.109166436,0.083544447
0.976484462,-0.202448582,-0.637960163,1.343954663,0.167047513,0.40872346,0.900787995,0.03458153,0.183582783,0.652952872,0.2393539,0.586491308
